"List Position, Division and Permission GSA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
No,Position,,,Division,,,Menu ,Permission,,,,,,,
,,,,,,,Executed job,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Finance,Finance,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Invoice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
